医薬品名,効能,注意事項,使用方法,保存方法
アポキル5.4mg,このお薬はアトピー性皮膚炎およびアレルギー性皮膚炎による痒みを緩和する分子標的薬です,本剤投与後に下痢や嘔吐がみられた場合は投与を中止し、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、与えて下さい。,室温で保存して下さい。
アポキル16mg,このお薬はアトピー性皮膚炎およびアレルギー性皮膚炎による痒みを緩和する分子標的薬です,本剤投与後に下痢や嘔吐がみられた場合は投与を中止し、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、与えて下さい。,室温で保存して下さい。
アポキルチュアブル3.6mg,このお薬はアトピー性皮膚炎およびアレルギー性皮膚炎による痒みを緩和する分子標的薬です,本剤投与後に下痢や嘔吐がみられた場合は投与を中止し、すぐに獣医師にご相談下さい嗜好性が高く、用量以上に誤食してしまう危険性がありますので保管場所にはご注意ください,獣医師の指示のもと、用法用量を守って、与えてください,室温で保存してください
アポキルチュアブル5.4mg,このお薬はアトピー性皮膚炎およびアレルギー性皮膚炎による痒みを緩和する分子標的薬です,本剤投与後に下痢や嘔吐がみられた場合は投与を中止し、すぐに獣医師にご相談下さい嗜好性が高く、用量以上に誤食してしまう危険性がありますので保管場所にはご注意ください,獣医師の指示のもと、用法用量を守って、与えて下さい,室温で保存してください
アポキルチュアブル16mg,このお薬はアトピー性皮膚炎およびアレルギー性皮膚炎による痒みを緩和する分子標的薬です,本剤投与後に下痢や嘔吐がみられた場合は投与を中止し、すぐに獣医師にご相談下さい嗜好性が高く、用量以上に誤食してしまう危険性がありますので保管場所にはご注意ください,受医師の指示のもと、用法用量を守って、与えてください,室温で保存して下さい
ｱﾐｻﾘﾝ錠125mg,このお薬は、不整脈治療剤です。不整脈の治療などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避けて、室温で保存して下さい。
アモキクリア錠100,このお薬は、ペニシリン系の抗生物質です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,直射日光と高温多湿を避けて保存して下さい。
ｱﾗﾊﾞ錠10mg,このお薬は、免疫抑制剤です。免疫機能を抑制するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
アラバ錠20mg,このお薬は、免疫抑制剤です。免疫機能を抑制するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
複合ﾋﾞﾀﾐﾝ剤です。,神経の保護・活性化作用があります。肝臓の再生を助けます。,,,
ｱﾙｹﾗﾝ錠2mg,このお薬は、抗癌剤のひとつです。,本剤に直接手を触れないで下さい。また、本剤投与後2日間は、排泄物にも直接手を触れないで下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避け、気密容器に入れて2～8℃で保存して下さい。
ｱﾙｻﾙﾐﾝ細粒90%～10kg,このお薬は、胃炎・消化性潰瘍治療剤です。胃・十二指腸の炎症・潰瘍の治療に使用されます。,食事や他の薬剤とは別に投与して下さい。本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱﾙｻﾙﾐﾝ細粒90%～20kg,このお薬は、胃炎・消化性潰瘍治療剤です。胃・十二指腸の炎症・潰瘍の治療に使用されます。,食事や他の薬剤とは別に投与して下さい。本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱﾙｻﾙﾐﾝ細粒90%～30kg,このお薬は、胃炎・消化性潰瘍治療剤です。胃・十二指腸の炎症・潰瘍の治療に使用されます。,食事や他の薬剤とは別に投与して下さい。本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱﾙｻﾙﾐﾝ細粒90%～40kg,このお薬は、胃炎・消化性潰瘍治療剤です。胃・十二指腸の炎症・潰瘍の治療に使用されます。,食事や他の薬剤とは別に投与して下さい。本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱﾙｻﾙﾐﾝ細粒90%～50kg,このお薬は、胃炎・消化性潰瘍治療剤です。胃・十二指腸の炎症・潰瘍の治療に使用されます。,食事や他の薬剤とは別に投与して下さい。本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
アルファカルシドール錠0.25㎎,・室温保存・遮光・気密容器,ｱﾝｷｼﾀﾝM/L,この製品は、サンテアニンを主成分とする犬用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。
アロプリノール100mg,このお薬は、高尿酸血症治療剤です。尿酸結石の融解や予防に使用されます。,本剤投与後、異常がみられた場合は使用を止め、獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｱﾝｷｼﾀﾝS,この製品は、サンテアニンを主成分とする犬猫用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,室温の暗所に保存して下さい。
イグザレルト,このお薬は抗血小板薬です。血栓症や塞栓症に対して使用されます。,本剤投与後、異常がみられた場合、すぐに獣医師にご相談ください。また、異常な出血があった場合すぐにご連絡ください。,獣医師の指示のもと、用法用量を守って正しくご使用ください。,湿気を避けて、室温保存してください。
イーケプラ錠250㎎,このお薬は、てんかん発作を抑制・軽減するお薬です。,投与初期に、元気がない、食欲がない、寝てばかりいる、ふらつくなどの症状がみられる場合があります。,獣医師の指示のもと、用法用量を守って正しくご使用下さい。,室温で保存してください。
ｲｻﾛﾊﾟﾝ外用散6%,このお薬は、外傷・皮膚潰瘍治療剤です。肉芽形成、表皮再生を促進させ、びらん・潰瘍の治療に使用されます。,本剤散布後、異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
イトラコナゾール錠50㎎,このお薬は、トリアゾール系の抗真菌薬です。真菌感染の治療のために使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,空腹時は避けて、脂肪分の多い食事とともに服用させて下さい。指示のない限り途中で投与を中止しないで下さい。,室温で保存して下さい。
ｲﾄﾗｺﾅｿﾞｰﾙ錠100,このお薬は、トリアゾール系の抗真菌薬です。真菌感染の治療のために使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、肝障害がみられることがあります。その他の異常がみられた場合は、すぐ獣医師にご相談ください。,空腹時は避けて、脂肪分の多い食事とともに服用させて下さい。指示のない限り途中で投与を中止しないで下さい。,室温で保存して下さい。
イトラベット25mg,このお薬は、トリアゾール系の抗真菌薬です。真菌感染の治療のために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて、室温で保存してください。
イベルメクチン,このお薬は駆虫薬です。フィラリア予防薬、あるいは毛包虫の治療として使用されます。,ふらつきなどの神経症状。フィラリアに感染している動物に投与した場合、ショック症状がみられることがあります。必ずフィラリアに感染していないことを確認してから投与してください。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｲﾑﾗﾝ錠50mg,このお薬は、免疫抑制剤です。免疫機能を抑制するために使用されます。,本剤投与後、異常ががみられた場合は、すぐに獣医師にご相談ください。投薬の際は手袋などを着用し、素手で触れないようにしてください。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れ、光を避けて室温で保存して下さい。
イマチブ,遺伝子を標的とする分子標的薬です。犬や猫の肥満細胞腫などの治療に用いられます。,消化器症状が認められる場合があります。異常がみられた場合はすぐに獣医師にご相談ください。投薬の際は手袋などを着用し、素手で触れないようにしてください。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,
ｲﾝﾃﾞﾗﾙ錠,このお薬は、不整脈治療剤です。不整脈の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避けて、室温で保存して下さい。
ｳｪﾙﾒｲﾄ粒10%,細菌感染のためのお薬です。まれに消火器症状(下痢・嘔吐)が現れることがあります。,お薬の返品、交換はお受けできませんので、ご了承ください,,
ウルソデオキシコール酸錠50mg,胆汁の流れを促進します。,本剤投与後、異常がみられた場合、すぐに獣医師にご相談下さい。,,
ウルソデオキシコール酸錠100mg,胆汁の流れを促進します。,本剤投与後、異常がみられた場合は、すぐ獣医師にご相談下さい。,,
ｳﾛｴｰｽ錠,このお薬は、前立腺肥大症治療剤です。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｴｸｾｸﾞﾗﾝ錠100mg,このお薬は、抗てんかん薬です。脳神経の興奮を抑えることができます。,本剤は薬が体に馴染むまで初回投与から約2週間かかり、食欲減少、ふらつきなどがみられることがあります。,獣医師の指示のもと、用法用量を守り、食事に混ぜて投与して下さい。,室温で保存して下さい。
ｴｸｾﾐﾄﾞ錠100mg,このお薬は、抗てんかん薬です。脳神経の興奮を抑えることができます。,本剤は薬が体に馴染むまで初回投与から約2週間かかり、食欲減少、ふらつきなどがみられることがあります。,獣医師の指示のもと、用法用量を守り、食事に混ぜて投与して下さい。,室温で保存して下さい。
ｴﾅｶﾙﾄﾞ錠1,このお薬は、ACE阻害剤です。血管を拡張させることで、心臓の負担を軽減したり、心臓の肥大を抑制する作用があります。,本剤投与後、嘔吐や下痢がみられたり、動物の状態が悪化した場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避け、気密容器に入れて室温で保存して下さい。
ｴﾅｶﾙﾄﾞ錠2.5,このお薬は、ACE阻害剤です。血管を拡張させることで、心臓の負担を軽減したり、心臓の肥大を抑制する作用があります。,本剤投与後、嘔吐や下痢がみられたり、動物の状態が悪化した場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避け、気密容器に入れて室温で保存して下さい。
エンロクリア50mg錠,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐ獣医師にご相談ください。,獣医師から指示された用法用量を必ず守ってください。指示のない限り、途中で投与を中止しないでください。,小児の手の届かないところで保存してください。
エンロクリア15mg,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、副作用がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しく与えて下さい。,気密容器に入れて、室温で保存して下さい。
エピレス錠10ｍｇ,このお薬は、抗てんかん薬です。脳神経の興奮を抑えることができます。,本剤は、薬が馴染むまで初回投与から約２週間かかり、食欲減少、ふらつきなどがみられることがあります。投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
エピレス錠20mg,このお薬は、抗てんかん薬です。脳神経の興奮を抑えることができます。,本剤は、薬が馴染むまで初回投与から約2週間かかり、食欲減少、ふらつきなどがみられることがあります。投与後、異常がみられた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
エビオス錠,胃腸薬で、吐き気などがみられる際に使用されます。,異常がみられた場合は、獣医師にご相談下さい。,,
エリスロマイシン,マクロライド系の抗菌剤と使用されるほか、消化管運動も促進します。,本剤投与後、異常がみられた場合は、すぐ獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。,
エフェドリン塩酸塩錠,このお薬は、気管支拡張、鎮咳剤です。,本剤投与後、頬脈、高血圧、その他の異常がみられた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を必ず守って、使用してください。,
エストリオール錠1㎎,このお薬は、卵胞ホルモン製剤です。女性ホルモンの働きが不十分な時におこる症状を改善します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｵｰｸﾞﾒﾝﾁﾝ配合錠125SS,このお薬は、複合合成抗生物質です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,湿気を避けて、室温で保存して下さい。
ｵｰｸﾞﾒﾝﾁﾝ配合錠250RS,このお薬は、複合合成抗生物質です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,湿気を避けて、室温で保存して下さい。
オフロキサシン錠100mg,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,室温で保存して下さい。
ｵﾍﾟﾌﾟﾘﾑ,このお薬は、副腎皮質ホルモン合成阻害剤です。副腎皮質機能亢進症の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。定期的な検診・検査が必要です。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｵﾒﾌﾟﾗｿﾞｰﾙ錠20mg｢ｱﾒﾙ｣,このお薬は、プロトンポンプ阻害剤です。胃・十二指腸の炎症・潰瘍の治療などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,必ず噛み砕かせずに投与して下さい。獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて、室温で保存して下さい。開封後は湿気を避けて保存してください。
ｵﾒﾌﾟﾗｿﾞｰﾙ錠１０ｍｇ,このお薬は、プロトンポンプ阻害剤です。胃・十二指腸の炎症･潰瘍の治療などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,必ず噛み砕かせずに投与して下さい。獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避けて、室温で保存して下さい。
オンシオール猫用6㎎,このお薬は、非ステロイド性消炎鎮痛剤です。痛みを抑え、熱を下げ、炎症を取ります。,本剤投与後、嘔吐、軟便、下痢が見られることがあります。その場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しくご使用ください。可能であれば食事の前後30分あけて投与して下さい。,気密容器に入れ、室温で保存してください。
ｶﾞｽﾓﾁﾝ錠5mg,<消化管運動機能改善薬・巨大結腸症の薬>消化管の運動機能を調整します。,投薬に伴い、動物に異常が認められた場合は担当獣医師までご相談下さい。,,
ガスモチン錠2.5mg,このお薬は、消化管運動機能改善剤です。胃・十二指腸などの運動機能低下、食欲不振、嘔吐の改善などに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れて、室温で保存して下さい。
ガバペン200ｍｇ,このお薬は、抗てんかん剤です。脳神経の興奮を抑えることができます。また、神経性の痛みを抑えることができます。,本剤は初回投与後から一過性にふらつきなどがみられることがあります。異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守り、食事に混ぜて投与して下さい。,室温で保存して下さい。
ｶﾌﾟﾄﾌﾟﾘﾙ錠12.5｢SW｣,このお薬は、ACE阻害剤です。血管を拡張させることで、心臓の負担を軽減したり、心臓の肥大を抑制する作用があります。,本剤投与後、嘔吐や下痢がみられたり、動物の状態が悪化した場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避けて、室温で保存して下さい。
ｶﾓｽﾃｰﾄ錠100,このお薬は、経口蛋白分解酵素阻害剤です。慢性膵炎、術後の逆流性食道炎の治療などに使用されます。,本剤投与後、異常があらわれた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｶﾞﾝﾏﾀﾞｰﾑ,この製品は、リノール酸、ガンマリノレン酸を主成分とする犬猫用サプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,室温で保存して下さい。
カルデミン錠,このお薬は、活性型ﾋﾞﾀﾐﾝD3製剤です。上皮小体機能亢進症の治療や予防に使用されます。,高Ca血症に注意してください。,獣医師の指示のもと、用法用量を守って使用してください。,
カルベジロール1.25ｍｇ,このお薬は、慢性心不全治療薬です。僧帽弁閉鎖不全症や心筋症などの治療に使用されます。,本剤投与後、食欲低下・めまい・ふらつき等の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ギャバロン錠,このお薬は、尿道を広げて残尿を改善します。,本剤投与後、ふらつきなどの異常がみられた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。猫には与えないでください。,室温で保存してください。
クラバセプチン250ｍｇ,このお薬はペニシリン系薬であるアモキシシリン水和物およびβラクタマーゼ阻害薬であるクラブラン酸カリウムを有効成分とする抗生物質です。,本製品を給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。本剤の成分又はペニシリン系セファロスポリン系薬剤に過敏症を有する人は手袋をつけるなど直接の接触を避け、皮疹などの症状が出た場合は直ちに,本剤は要指示薬品です。獣医師等の処方箋、指示により用法用量を守って正しく使用してください。,小児の手の届かないところで直射日光、高温多湿を避け保管してください。
クラバセプチン62.5ｍｇ,このお薬はペニシリン系薬であるアモキシシリン水和物およびβラクタマーゼ阻害薬であるクラブラン酸カリウムを有効成分とする抗生物質です。,本製品を給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。本剤の成分又はペニシリン系セファロスポリン系薬剤に過敏症を有する人は手袋をつけるなど直接の接触を避け、皮疹などの症状が出た場合は直ちに,本剤は要指示薬品です。獣医師等の処方箋、指示により用法用量を守って正しく使用してください。,小児の手の届かないところで直射日光、高温多湿を避け保管してください。
ｸﾞﾘｾﾘﾝ,このお薬は、浣腸などに使用されます。溶剤、軟膏基材、湿潤、粘滑剤として調剤にも使用されます。,本剤は、動物に飲ませないようにして下さい。異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、正しくご使用下さい。,湿気を避けて、室温で保存して下さい。
ｸﾞﾙｺﾝｻﾝK錠5mEq,このお薬は、カリウム補給剤です。低カリウム血症などに使用されます。,本剤投与後、改善が見られない場合は漫然と使用せず、獣医師に相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。食事と同時に投与して下さい。,気密容器に入れて、室温で保存して下さい。
クレメジンカプセル200㎎,このお薬は、経口吸着薬です。消化管内の毒物を吸着し、便とともに排出させます。,本剤投与後、便が黒くなる事がありますが無害です。他の薬と併用すると、作用が弱くなる恐れがありますのでご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,湿気を避けて、室温で保存して下さい。
コバルジンカプセル200㎎,このお薬は、経口吸着薬です。消化管内の毒物を吸着し、便とともに排出させます。,本剤投与後、便が黒くなる事がありますが無害です。他の薬と併用すると、作用が弱くなる恐れがありますのでご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,直射日光と高温多湿を避けて保存して下さい。
クロピドグレル,このお薬は抗血小板薬です。血栓症や塞栓症に対して使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談ください。また、異常な出血があった場合すぐにご連絡ください。,獣医師の指示のもと、用法用量を守って正しくご使用ください。,湿気を避けて、室温保存して下さい。
ｸﾛﾐｶﾙﾑ錠20mg,このお薬は、三環系抗うつ剤です。脳内の神経細胞の働きを抑制することによって、不安や緊張を和らげます。,本剤は早期の効果を期待するものではありません。他の治療法との併用が必要です。獣医師の指示に従って下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,高温と湿気を避けて保存して下さい。
クレマスチン,このお薬は、抗ヒスタミン剤です。アレルギーの症状を誘発するヒスタミンなどの発生を抑えます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。お薬の返品、交換はお受けできませんのでご了承ください。,,
ｹﾌﾚｯｸｽｶﾌﾟｾﾙ250mg,このお薬は、セフェム系第1世代の抗生物質です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,気密容器に入れて室温で保存して下さい。
ｺﾞｸﾐｼﾝ錠100,このお薬は、利胆剤です。肝胆道系の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ケトコナゾールUSP200mg,このお薬は、下垂体依存性の副腎皮質機能亢進症（クッシング病）による高コルチゾール血症を改善する作用があります。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｺﾞｸﾐｼﾝ錠50,このお薬は、利胆剤です。肝胆道系の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｺｾｸｲﾝDS120,この製品は、コンドロイチン、グルコサミン、マンガンを主成分とする犬用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,直射日光を避け、乾燥した涼しいところに保存してください。
ｺｾｸｲﾝDS40,この製品は、コンドロイチン、グルコサミン、マンガンを主成分とする犬用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,直射日光を避け、乾燥した涼しいところに保存してください。
